81099,84305,84590
15595,48655,86307,88268
35611,67259,73445,73685
35666,39716,87210,87408
35699,57088,77679,79534
35718,51126,81338,81818
35870,67141,73106,73883
35883,40081,86795,87241
36074,38220,87551,88155
36130,49618,81944,82308
36428,52411,79925,81236
36541,49934,81482,82043
36615,38308,87159,87918
36808,40246,86218,86728
36840,42767,85052,85341
36905,42087,85235,85773
36943,39711,86427,86919
37019,47130,82457,83394
37227,50649,80909,81215
37242,49030,81813,81915
37369,40318,86086,86227
37385,39235,86367,87013
37450,47700,82168,82682
37765,43406,83380,85449
38023,64407,73635,73935
38069,38949,86395,86587
38193,40349,75018,96440
38338,64344,73461,73857
38926,43702,83536,83836
39144,50177,79939,80740
39406,53278,77945,79371
39774,45120,80938,84168
41948,58089,73451,76512
42136,48566,78394,80904
43708,54286,73318,78688
46362,46916,76329,80393
47610,52839,73374,76177
50030,58263,70787,70920
50306,56192,71644,71858
4,11453,46323,96025,96195
9,19264,39925,95341,95461
14,6382,48119,97668,97817
18,30484,31640,90571,97287
26,6134,46888,98361,98591
28,8734,44266,98364,98608
30,7234,53710,94419,94607
58,1696,49719,99168,99359
59,9496,41929,99136,99380
79,4493,53363,95947,96118
98,8018,53448,94136,94300
150,6119,44391,99582,99758
151,7216,42991,99752,99890
174,9679,49686,95110,95351
207,5411,45538,99324,99520
250,4421,49883,97647,97799
258,5843,60167,91727,92005
274,5577,44787,99639,99723
288,3534,50046,98012,98120
294,4951,49923,97309,97523
299,4949,52795,95865,96092
320,8443,42537,99220,99480
321,1877,58733,94441,94628
331,32313,50639,79298,87419
365,7857,43869,98854,99055
368,2588,47378,99695,99971
377,8739,61943,89396,89545
381,2803,48303,99115,99398
398,37354,39779,81750,90719
410,26435,49389,86791,86975
418,5321,47173,98456,98632
434,15100,41422,96431,96613
436,6078,43854,99674,99958
437,1249,58677,94720,94917
472,1747,48142,99705,99934
482,38003,39848,85019,86648
500,4596,53439,95614,95851
508,4969,45693,99341,99489
513,11387,41700,98183,98217
532,7061,48604,96795,97008
547,5052,47769,98196,98436
558,2960,48492,98897,99093
567,1258,48839,99538,99798
585,3550,49850,97941,98074
587,6631,53208,94709,94865
