36185,38954
38633,93247,98033
44645,82712,98281
1301,35064,96794,96841
1435,33564,97442,97559
1571,30047,99136,99246
1717,32072,98074,98137
1819,31964,98075,98142
1876,29166,99438,99520
2098,36943,95411,95548
2103,31905,97967,98025
2228,32476,97595,97701
2385,39005,94270,94340
2536,35197,96112,96155
2566,30712,98266,98456
2854,30982,98071,98093
2927,37115,94917,95041
2953,30039,98436,98572
2982,34089,96417,96512
3007,34992,95945,96056
3313,35186,95684,95817
3321,43075,91733,91871
3448,31637,97415,97500
3539,29250,98548,98663
3542,40411,92968,93079
3550,35768,95304,95378
3570,30482,97928,98020
3708,30011,98084,98197
3799,28151,98991,99059
3890,36250,94865,94995
3901,35466,95270,95363
3909,41961,92041,92089
4006,36504,94703,94787
4095,33623,96092,96190
4201,34105,95753,95941
4298,36386,94628,94688
4308,36183,94720,94789
4646,29681,97799,97874
4736,32905,96126,96233
4813,34705,95141,95341
4820,36626,94229,94325
4859,45599,89723,89819
4910,31741,96613,96736
4918,34307,95352,95423
4946,33563,95672,95819
4969,43745,90616,90670
5007,40523,92195,92275
5111,32562,96122,96205
5152,39314,92715,92819
5254,29470,97597,97679
5358,28432,98076,98134
5408,36343,94065,94184
5417,34680,94905,94998
5440,45683,89382,89495
5441,31336,96578,96645
5449,28953,97759,97839
5463,34260,95104,95173
5536,50000,87170,87294
5559,32799,95749,95893
5567,30725,96800,96908
5688,42545,90819,90948
5824,34406,94803,94967
6098,37286,93260,93356
6131,44833,89484,89552
6240,33788,94942,95030
6244,36074,93814,93868
6335,44011,89738,89916
6348,39157,92197,92298
6376,35468,94009,94147
6432,36890,93313,93365
6486,40565,91440,91509
6631,35671,93812,93886
6812,43991,89578,89619
6815,43983,89566,89636
7075,55222,83818,83885
7103,33386,94709,94802
7251,29870,96370,96509
7271,35374,93629,93726
7300,38023,92260,92417
7333,36388,93084,93195
7560,33071,94644,94725
7619,39039,91625,91717
7728,40658,90761,90853
7857,35081,93463,93599
7885,33808,94113,94194
7910,47669,87152,87269
7942,39057,91467,91534
8016,46323,87792,87869
8036,33174,94364,94426
8064,36102,92876,92958
8101,36502,92621,92776
8135,44478,88630,88757
8161,47648,87042,87149
8208,39711,90984,91097
8270,30526,95571,95633
8275,38287,91682,91756
8322,30647,95475,95556
8323,37966,91785,91926
8335,42710,89446,89509
8511,36900,92230,92359
8570,40652,90333,90445
8675,37838,91699,91788
8682,41312,89966,90040
8691,50549,85321,85439
8758,41701,89684,89857
8812,35880,92580,92728
8832,35577,92742,92849
8885,51704,84631,84780
8954,47846,86552,86648
9068,44487,88177,88268
9115,33446,93693,93746
9121,36263,92243,92373
9214,45898,87408,87480
9249,41524,89585,89642
9250,40993,89804,89953
9305,31971,94304,94420
9415,28999,95735,95851
9538,43395,88492,88575
9580,46591,86887,86942
9593,51951,84181,84275
9601,40686,89788,89925
9606,36996,91671,91727
9618,45261,87543,87578
9635,49565,85346,85454
9688,41455,89363,89494
9732,46932,86630,86706
9738,40396,89867,89999
9752,31783,94177,94288
9816,51491,84305,84388
9921,42250,88857,88972
9945,42146,88908,89001
9976,43854,88046,88124
9978,33766,93081,93175
9987,32283,93843,93887
9999,55680,82126,82195
10014,42484,88684,88818
10017,37996,90965,91022
10107,46445,86657,86791
10125,43940,87932,88003
10134,38918,90386,90562
10156,35943,91882,92019
10183,41622,89026,89169
10223,34324,92664,92789
10249,35843,91883,92025
10367,40406,89584,89643
10378,40066,89724,89832
10405,33168,93173,93254
10444,42540,88467,88549
10456,44886,87266,87392
10457,34108,92643,92792
10483,36901,91275,91341
10500,39542,89937,90021
10551,43616,87890,87943
10576,49559,84889,84976
10582,51331,83997,84090
10602,42442,88439,88517
10612,42057,88642,88689
10627,44744,87241,87388
10720,42417,88388,88475
10736,39226,89996,90042
10758,37916,90625,90701
10765,39197,89985,90053
10774,39118,90010,90098
10859,44557,87230,87354
10871,55415,81831,81883
10878,34893,92063,92166
10995,38156,90381,90468
11004,49921,84521,84554
11042,53485,82692,82781
11121,39944,89427,89508
11124,33820,92467,92589
11125,44738,87010,87127
11149,41969,88386,88496
11216,50068,84326,84390
11221,36530,91062,91187
11244,43257,87698,87801
11245,37577,90525,90653
11254,33709,92468,92569
11324,52691,82962,83023
11374,53110,82734,82782
11405,43047,87741,87807
11433,61167,78662,78738
11439,40457,89004,89100
11453,46813,85799,85935
11456,35610,91445,91489
11462,36445,90976,91117
11534,35129,91632,91705
11569,56515,80854,81062
11577,43094,87600,87729
11598,42622,87843,87937
11608,36691,90786,90915
11619,51989,83156,83236
11658,31358,93419,93565
11666,40210,89022,89102
11738,51570,83314,83378
11753,31911,93101,93235
11765,53482,82351,82402
11791,37090,90492,90627
11858,49152,84457,84533
11877,39893,89078,89152
11951,50342,83808,83899
11955,32416,92774,92855
11994,45494,86200,86312
12008,36718,90596,90678
12042,46648,85601,85709
12073,39830,89007,89090
12106,47850,85006,85038
12132,39193,89279,89396
12181,39796,88954,89069
12306,36395,90605,90694
12330,38857,89354,89459
12375,34615,91462,91548
12391,33390,92064,92155
12400,29911,93813,93876
12495,44152,86625,86728
12506,41860,87771,87863
12601,49454,83956,83989
12629,55593,80821,80957
12666,50537,83352,83445
12706,38605,89291,89398
12738,37160,90008,90094
12747,53082,82056,82115
12822,49389,83867,83922
12835,49269,83908,83988
12901,46495,85271,85333
12905,48145,84450,84500
12910,49367,83813,83910
12911,44176,86417,86496
12985,58770,79082,79163
13075,49752,83538,83635
13077,39925,78566,98417
13131,59936,78410,78523
13155,45940,85392,85513
13248,51202,82722,82828
13251,33499,91590,91660
13253,51059,82821,82867
13270,41102,87767,87861
13286,51127,82751,82836
13296,52053,82287,82364
13307,61148,77736,77809
13382,47394,84567,84657
13391,39968,88265,88376
13434,42797,86830,86939
13473,56192,80102,80233
13475,29807,93336,93382
13528,56012,80175,80285
13534,63180,76553,76733
13544,58573,78901,78982
13569,48856,83729,83846
13632,38482,88889,88997
13665,53416,81416,81503
13719,47068,84563,84650
13728,55689,80238,80345
13758,64602,75742,75898
13769,41398,87371,87462
13773,46038,85032,85157
13854,55816,80101,80229
13932,40642,87658,87768
13963,43450,86218,86369
13977,39424,88243,88356
13991,43857,85991,86161
14023,46187,84860,84930
14063,42184,86834,86919
14065,42120,86875,86940
14066,35870,89994,90070
14101,33612,91079,91208
14161,60821,77470,77548
14215,40441,87604,87740
14235,44428,85634,85703
14265,54341,80668,80726
14301,51298,82163,82238
14322,46293,84628,84757
14323,39779,87918,87980
14355,63906,75804,75935
14359,33109,91200,91332
14360,38639,88437,88564
14384,47234,84153,84229
14437,40661,87406,87496
14463,48119,83624,83794
14587,46596,84383,84434
14611,35653,89796,89940
14615,47700,83802,83883
14629,57088,79098,79185
14660,39370,87960,88010
14662,45287,84999,85052
14691,56369,79406,79534
14714,35669,89754,89863
14742,40564,87290,87404
14802,42366,86395,86437
14811,31878,91597,91714
14821,40217,87448,87514
14843,62563,76251,76343
14851,63618,75669,75862
14858,68284,73396,73462
14860,61510,76775,76855
14880,59307,77833,77980
14910,35895,89572,89623
14957,60006,77465,77572
14995,53836,80541,80628
15006,41943,86457,86594
15011,70901,71975,72113
15071,37575,88618,88736
15108,34005,90382,90505
15128,41604,86587,86681
15180,46206,84262,84352
15190,45523,84580,84707
15201,48469,83106,83224
15252,47904,83380,83464
15315,59730,77461,77494
15375,32456,90990,91179
15387,45595,84467,84551
15394,51700,81412,81494
15423,58269,78117,78191
15428,60362,77046,77164
15482,46130,84168,84220
15533,36704,88825,88938
15553,44288,85010,85149
15572,42409,85944,86075
15606,56411,78914,79069
15633,60956,76635,76776
15637,67544,73374,73445
15735,49906,82134,82225
15741,53377,80383,80499
15744,44035,85049,85172
15769,52190,80938,81103
15770,53275,80423,80532
15798,46801,83608,83793
15800,32611,90762,90827
15819,47997,83035,83149
15839,37242,88404,88515
15854,56321,78869,78956
15871,48774,82639,82716
15898,54217,79908,79977
15915,31632,91164,91289
15919,59554,77183,77344
15977,42386,85773,85864
15980,52460,80723,80837
16007,53375,80265,80353
16051,53010,80427,80512
16078,38330,87758,87834
16090,47625,83095,83190
16153,40155,86807,86885
16154,42537,85608,85701
16167,43286,85240,85307
16221,49105,82309,82365
16228,38476,87599,87697
16248,47014,83344,83394
16292,56269,78675,78764
16300,40306,86633,86761
16312,36275,88650,88763
16315,37857,87882,87946
16324,42790,85379,85507
16355,45501,84028,84116
16362,65189,74167,74282
16404,51536,80949,81111
16424,33063,90196,90317
16429,41422,85990,86159
16439,54586,79420,79555
16453,48920,82298,82329
16472,66672,73405,73451
16474,36111,88646,88769
16526,55190,79112,79172
16553,64888,74230,74329
16597,53555,79882,79966
16601,66896,73197,73306
16651,55836,78718,78795
16658,50801,81228,81313
16691,55110,79045,79154
16696,44289,84479,84536
16700,35646,88767,88887
16748,46885,83138,83229
16749,35453,88853,88945
16783,56669,78225,78323
16826,63558,74750,74866
16840,38131,87495,87534
16858,46089,83479,83574
16861,57242,77892,78005
16876,57702,77679,77743
16944,52532,80200,80324
16973,53564,79697,79766
16997,65652,73619,73732
17002,46341,83276,83381
17091,38769,87012,87128
17101,42357,85228,85314
17118,27865,92441,92576
17184,58270,77198,77348
17188,53363,79662,79787
17194,69456,71650,71700
17232,37834,87425,87509
17248,47522,82559,82671
17275,45945,83357,83423
17287,56547,78028,78138
17295,59747,76422,76536
17357,54097,79239,79307
17359,47690,82436,82515
17421,51036,80727,80816
17452,54241,79121,79186
17456,46621,82923,83000
17481,44492,83969,84058
17490,38209,87091,87210
17503,37336,87544,87617
17532,62591,74871,75006
17559,48514,81920,82007
17610,45692,83336,83362
17626,51300,80492,80582
17668,55752,78258,78322
17682,50210,80996,81112
17826,43699,84199,84276
17838,55992,78059,78111
17839,42479,84754,84928
17854,58776,76596,76774
17900,55464,78280,78356
17925,63038,74479,74558
17940,53401,79298,79361
17991,37077,87421,87511
17993,67991,71973,72043
17995,40349,85771,85885
18014,47018,82457,82511
18065,40079,85876,85980
18069,47790,82055,82086
18081,58179,76806,76934
18112,36655,87571,87662
18163,60406,75660,75771
18168,66880,72407,72545
18185,40103,85787,85925
18200,59621,76002,76177
18214,49780,80917,81089
18224,43096,84293,84387
18250,41543,85019,85188
18284,65978,72794,72944
18321,50717,80417,80545
18324,56894,77340,77442
18327,43893,83862,83918
18351,51831,79844,79974
18361,62816,74386,74437
18391,42723,84406,84480
18412,44230,83605,83753
18465,45602,82926,83007
18470,41781,84820,84929
18507,59552,75884,76057
18599,35556,87870,87975
18610,46913,82192,82285
18631,46940,82167,82262
18637,45057,83098,83208
18651,39789,85727,85833
18673,66464,72369,72494
18678,55541,77827,77954
18694,38064,86582,86660
18709,48732,81234,81325
18735,46016,82574,82675
18741,67864,71674,71721
18747,37385,86893,86975
18753,51051,80037,80159
18763,60962,75120,75155
18769,41402,84861,84968
18793,57894,76563,76750
18837,38783,86086,86294
18862,50967,80032,80139
18879,61159,74942,75020
18881,62220,74404,74495
18898,63529,73689,73884
18919,58448,76293,76340
18950,39829,85554,85667
18961,66378,72266,72395
18968,36076,87428,87528
18970,49097,80867,81066
19003,61714,74596,74687
19045,45688,82585,82682
19110,56570,77091,77229
19218,40246,85235,85301
19228,46679,82012,82081
19246,40598,85014,85142
19264,39477,85567,85692
19269,53813,78394,78524
19317,62293,74123,74267
19322,57706,76430,76542
19334,47242,81644,81780
19361,58491,75989,76159
19412,60465,75027,75096
19450,47551,81458,81541
19451,63720,73386,73443
19464,57649,76375,76512
19551,59536,75414,75499
19569,52492,78913,79026
19593,63869,73220,73318
19625,44391,82937,83047
19642,46132,82064,82162
19669,62637,73800,73894
19682,57115,76535,76668
19683,37293,86452,86572
19689,39774,85224,85313
19773,51957,79095,79175
19897,60875,74581,74647
19914,49035,80451,80600
19916,44925,82532,82627
19960,68988,70500,70552
19978,48515,80720,80787
20009,30688,89633,89670
20052,69428,70209,70311
20059,50423,79702,79816
20070,55314,77260,77356
20078,57263,76313,76346
20107,44249,82800,82844
20194,66908,71389,71509
20206,45103,82308,82383
20210,63318,73214,73258
20221,46397,81632,81750
20257,46197,81733,81813
20305,67031,71246,71418
20332,45918,81818,81932
20346,65090,72228,72336
20357,40018,84726,84899
20374,46823,81359,81444
20383,44323,82618,82676
20421,40292,84606,84681
20424,58831,75323,75422
20456,60285,74573,74686
20508,52714,78343,78435
20518,44482,82480,82520
20528,50099,79627,79746
20594,38759,85273,85374
20598,54741,77306,77355
20624,60135,74583,74658
20643,52658,78315,78384
20666,62160,73512,73662
20680,47337,80909,81074
20695,35191,87013,87101
20699,46768,81215,81318
20742,66933,71119,71206
20743,38289,85442,85526
20756,40929,84120,84195
20770,67325,70915,70990
20801,64562,72271,72366
20909,66793,71116,71182
20915,50489,79243,79353
20964,42775,83088,83173
20985,44899,82031,82085
21034,65627,71649,71690
21065,49634,79572,79729
21105,63429,72702,72764
21130,43869,82465,82536
21144,49923,79417,79516
21176,35884,86403,86537
21181,43786,82491,82542
21198,57637,75538,75627
21228,55277,76705,76790
21245,50231,79241,79283
21249,44953,81854,81944
21280,62531,73060,73129
21288,66761,70937,71014
21294,44821,81915,81970
21347,62174,73201,73278
21367,51773,78361,78499
21405,58970,74764,74861
21442,50018,79214,79326
21452,63394,72530,72624
21455,49232,79579,79734
21459,66723,70897,70921
21466,38539,84962,85033
21511,41206,83551,83732
21529,51819,78295,78357
21548,55493,76426,76533
21581,43702,82330,82387
21676,62678,72789,72857
21709,46803,80681,80807
21772,50422,78840,78966
21783,45759,81214,81244
21808,66259,70930,71003
21811,56994,75558,75637
21818,40888,83585,83709
21874,52162,77944,78020
21932,63090,72424,72554
21961,60184,73893,73962
21971,59518,74212,74299
21986,34640,86629,86745
21993,59480,74214,74313
21999,55738,76064,76199
22062,64243,71795,71900
22093,63168,72323,72416
22122,66554,70607,70717
22128,42813,82495,82564
22156,67776,69961,70107
22223,39792,83938,84047
22266,43901,81861,81972
22272,66623,70522,70583
22359,44642,81439,81560
22422,57096,75186,75296
22541,38679,84353,84427
22560,66046,70638,70756
22584,38960,84196,84260
22596,65550,70892,70962
22690,47084,80048,80178
22778,34535,86309,86378
22799,54770,76166,76265
22862,62574,72207,72357
22884,40794,83115,83207
22908,62946,72030,72116
22922,60272,73383,73423
22971,54850,76039,76140
22990,58726,74083,74201
22991,63901,71502,71606
23025,61449,72739,72787
23058,50855,77982,78105
23097,47935,79430,79538
23098,60717,73069,73116
23105,68885,68968,69042
23115,45403,80680,80802
23134,38160,84315,84391
23210,46240,80219,80331
23217,59358,73659,73766
23332,60838,72869,72961
23356,54122,76205,76317
23390,35067,85740,85803
23413,56041,75208,75338
23418,55909,75284,75389
23451,49927,78282,78340
23456,60791,72808,72945
23457,56576,74934,75033
23495,50979,77723,77803
23499,68552,68940,69009
23514,53627,76405,76454
23531,43556,81391,81522
23568,56033,75135,75264
23577,58605,73883,73935
23648,56650,74816,74886
23656,63272,71480,71592
23678,55880,75147,75295
23737,51419,77360,77484
23851,66886,69599,69664
23873,64673,70669,70785
23925,51861,77076,77138
23940,67065,69450,69545
23958,67879,69026,69137
23960,48691,78659,78690
23973,61999,71971,72057
23988,62346,71796,71870
24033,60214,72811,72942
24053,64252,70811,70884
24056,60210,72809,72925
24057,68207,68819,68917
24068,55911,74954,75067
24090,53114,76372,76424
24108,38234,83784,83874
24119,59241,73297,73343
24140,67714,69012,69134
