37770,39144,39968
41388,82915,83022
43395,83035,93565
46132,86893,86975
65401,77245,77354
66979,76251,76770
70867,72709,76424
71204,73962,74834
71758,73900,74342
628,22128,98591,98653
763,24278,97430,97529
867,24212,97398,97523
1293,22423,98101,98183
1296,19786,99400,99518
1643,20777,98726,98854
1847,18756,99651,99746
2074,21709,98075,98142
2123,21283,98212,98382
2138,24714,96525,96623
2158,18081,99827,99934
2292,23025,97286,97397
2293,22156,97718,97833
2407,19228,99145,99220
2546,19521,98882,99051
2613,21714,97799,97874
2748,20666,98211,98375
2773,26452,95352,95423
2977,27863,94521,94639
3007,21045,97928,98020
3211,23105,96787,96897
3339,25457,95571,95633
4100,19689,98074,98137
4142,22122,96804,96932
4192,21240,97266,97302
4205,23528,96112,96155
4308,24181,95675,95836
4312,37458,89078,89152
4374,21949,96771,96906
4381,23148,96195,96276
4416,26297,94608,94679
4503,27341,94009,94147
4527,39873,83729,91871
4662,21198,97000,97140
4764,27506,93843,93887
4871,21758,96615,96756
4910,20832,97055,97203
4915,26531,94229,94325
4946,37336,88800,88918
4996,18372,98219,98413
5033,27528,93693,93746
5054,27820,93519,93607
5112,23857,95475,95556
5152,25587,94607,94654
5165,21971,96353,96511
5250,21437,96579,96734
5287,23461,95121,96131
5376,30087,92238,92299
5498,25610,94401,94491
5621,21614,96297,96468
5630,24510,94865,94995
5646,31626,91305,91423
5647,21004,96613,96736
5663,23239,95503,95595
5706,30583,91785,91926
5736,33025,90578,90661
5764,32416,90871,90949
5952,25519,94214,94315
6226,23853,90173,99748
6331,16742,98196,98731
6366,25522,93998,94114
6382,26855,93353,93410
6605,18769,97269,97357
6705,22211,95480,95604
6746,33216,89985,90053
6790,27322,92907,92981
6812,28718,92195,92275
6815,22425,95351,95409
6879,17101,97974,98046
6939,28842,92064,92155
6984,28527,92224,92265
7029,21811,95546,95614
7087,33372,89684,89857
7112,25673,93532,93683
7150,35406,88660,88784
7173,35414,88650,88763
7179,33594,89585,89642
7222,36432,88115,88231
7318,29681,91467,91534
7319,28889,91822,91970
7353,23854,94341,94452
7444,33311,89588,89657
7445,32042,90196,90317
7624,19218,96528,96630
7663,30636,90786,90915
7734,31262,87768,93236
7784,29929,91079,91208
7833,21405,95357,95405
7909,19732,96126,96233
7960,22605,94666,94769
8024,27498,92214,92264
8149,26317,92715,92819
8161,34024,88852,88963
8218,25355,93173,93254
8276,26788,92404,92532
8278,29522,91060,91140
8323,25063,93264,93350
8335,40355,85601,85709
8405,42902,84305,84388
8470,28043,91699,91788
8559,28370,91504,91567
8608,40487,85392,85513
8663,32140,89578,89619
8704,24618,93313,93365
8713,40066,85554,85667
8734,28972,91080,91214
8772,28294,91445,91489
8882,37765,86625,86728
8929,32194,89382,89495
8954,44090,81444,85512
8974,29251,90842,90933
8988,24700,93100,93212
9042,32682,89097,89179
9056,33928,88467,88549
9214,24507,93084,93195
9251,32220,89191,89338
9286,32039,89279,89396
9351,25565,92486,92598
9393,25235,92639,92733
9415,31326,89607,89652
9428,23960,93283,93329
9489,30185,90133,90193
9496,29637,90373,90494
9601,24352,92968,93079
9607,41687,84315,84391
9613,29428,90388,90571
9632,27851,91199,91318
9653,40598,84820,84929
9679,29537,90371,90413
9808,30990,89566,89636
9821,21569,94270,94340
9885,29337,90333,90445
9987,31078,89427,89508
10014,34016,87960,88010
10107,30857,89484,89552
10125,32874,88437,88564
10134,22686,93521,93659
10136,36111,86834,86919
10271,34400,87600,87729
10392,29226,90164,90218
10405,44526,82497,82572
10424,33022,88228,88326
10444,23158,93147,93251
10450,34982,87227,87341
10475,26008,91703,91814
10478,29420,90008,90094
10588,26402,91462,91548
10633,23914,92664,92789
10645,32756,88243,88356
10756,30655,89230,89359
10765,26286,91440,91509
10774,32535,88306,88385
10807,29651,89723,89819
10833,26591,91239,91337
10878,27355,90819,90948
10888,25674,91682,91756
10890,28361,90347,90402
10911,26106,91459,91524
