42234,43261
27128,90762,91989
39740,82241,88019
44066,66554,99380
44423,68821,96756
44615,69905,95480
45501,70501,93998
45817,80821,83362
47828,73893,87128
48714,78795,82491
49269,63825,96906
62678,62898,63791
838,10879,99115,99168
867,10758,99155,99220
920,12901,98076,98103
1023,11315,98803,98859
1117,12822,98019,98042
1159,10739,99035,99067
1217,10139,99296,99348
1235,11677,98530,98558
1285,9463,99601,99651
1293,11637,98522,98548
1384,9616,99480,99520
1444,10249,99136,99171
1525,11688,98364,98423
1541,12283,98075,98101
1550,10088,99145,99217
1577,12375,98015,98033
1706,12747,97752,97795
1785,12333,97915,97967
1808,14860,96630,96702
1876,11619,98218,98287
1890,11910,98080,98120
1987,10790,98591,98632
1991,10588,98690,98731
2016,13966,96973,97045
2101,12526,97668,97705
2123,18934,94452,94491
2138,11774,98025,98063
2178,12403,97701,97718
2282,14337,96645,96736
2292,11230,98212,98266
2379,17839,94865,94917
2407,19202,94177,94214
2446,11625,97941,97988
2536,51581,56321,99562
2553,16597,95405,95445
2569,13217,97074,97140
2588,12757,97298,97357
2598,13432,96969,97001
2599,15180,96092,96129
2658,18188,94546,94608
2773,14811,96190,96226
2851,15735,95679,95735
2856,17589,94753,94802
2861,12540,97287,97312
2869,11736,97684,97711
2900,11863,97594,97643
2911,15880,95576,95633
2922,16997,94998,95083
2927,12246,97397,97430
2953,16051,95462,95534
2960,13886,96553,96601
2977,12761,97108,97154
2992,13883,96547,96578
3014,11405,97766,97815
3033,15375,95753,95839
3124,12835,96986,97055
3150,11971,97416,97463
3184,11125,97833,97858
3236,14843,95941,95980
3243,17615,94535,94607
3253,15572,95571,95604
3292,12233,97206,97269
3333,17399,94628,94640
3370,18321,94135,94174
3401,14384,96089,96126
3425,23105,91714,91756
3427,11318,97604,97651
3437,12988,96771,96804
3444,27268,89633,89655
3453,14066,96205,96276
3487,17910,94288,94315
3503,13719,96347,96431
3511,13391,96528,96570
3518,13507,96464,96511
3534,13717,96332,96417
3542,11433,97493,97532
3572,15985,95173,95270
3587,17288,94521,94604
3591,21042,92639,92728
3620,17750,94300,94330
3708,17552,94340,94400
3722,13854,96195,96229
3740,12647,96794,96819
3788,24865,90653,90694
3901,11017,97523,97559
3910,17838,94113,94139
4006,21888,92041,92065
4022,16601,94666,94711
4065,20305,92776,92854
4095,14235,95819,95851
4109,17318,94270,94303
4132,15633,95102,95133
4136,16574,94636,94654
4142,16959,94431,94468
4184,15011,95382,95423
4201,15810,94987,95002
4214,15542,95104,95140
4298,21245,92214,92243
4301,13569,96050,96080
4304,15489,95094,95113
4308,14994,95341,95357
4312,16279,94688,94721
4335,10266,97685,97714
4374,16674,94454,94498
4381,14833,95377,95409
4421,16302,94632,94645
4440,17748,93886,93926
4596,20756,92275,92373
4620,12400,96468,96512
4658,13644,95836,95862
4694,9354,97949,98003
4712,24158,90525,90605
4718,16177,94514,94591
4736,27409,88908,88947
4756,15225,94989,95030
4766,23413,90873,90948
4799,17870,93639,93692
4820,22884,91109,91187
4859,16231,94436,94474
4868,14662,95186,95284
4874,20643,92224,92259
4875,19309,92876,92940
4907,13905,95574,95614
4910,18648,93195,93247
4915,17424,93814,93847
4944,15495,94758,94803
4946,22778,91097,91179
4991,11373,96795,96841
4994,12796,96088,96122
4996,17347,93812,93845
5001,17827,93565,93607
5007,17796,93568,93629
5030,26330,89291,89349
5033,18556,93175,93236
5034,9904,97510,97552
5052,22885,90984,91079
5054,13596,95665,95685
5083,23334,90761,90822
5111,13665,95590,95634
5112,17184,93836,93868
5119,15117,94859,94905
5121,20983,91893,92003
5132,16090,94359,94419
5134,18991,92907,92968
5143,24721,90042,90094
5168,20528,92144,92160
5196,14319,95190,95295
5231,20210,92260,92299
5245,23577,90562,90616
5249,16739,93986,94026
5250,20434,92150,92166
5321,25386,89636,89657
5324,21738,91449,91489
5326,14265,95171,95238
5345,24352,90133,90170
5347,14617,94995,95041
5351,18021,93299,93329
5356,12008,96283,96353
5368,21722,91443,91467
5376,26153,89207,89264
5408,19471,92532,92589
5417,14714,94898,94971
5418,21152,91703,91727
5422,17431,93557,93590
5426,14542,94992,95040
5440,17162,93688,93710
5441,12602,95945,96012
5449,21294,91597,91660
5458,18919,92774,92849
5461,23589,90445,90505
5517,13773,95347,95363
5536,22601,90914,90949
5552,10483,96965,97000
5615,19235,92557,92593
5621,19003,92643,92733
5663,19916,92191,92230
5678,15744,94274,94304
5706,14866,94703,94725
5739,20824,91704,91733
5765,15451,94364,94420
5843,17422,93353,93382
5865,18968,92569,92598
5870,21105,91492,91533
5889,23217,90402,90492
5894,11994,96038,96074
5927,11124,96440,96509
5933,16556,93726,93785
5952,26988,88496,88564
5957,13792,95110,95141
5970,11629,96179,96222
5979,17824,93090,93107
5999,20070,91926,92005
6030,21442,91239,91289
6037,24700,89620,89643
6082,19236,92298,92384
6098,10104,96887,96911
6159,18970,92404,92467
6164,15428,94184,94224
6166,17257,93264,93313
6180,17925,92923,92972
6182,17822,92973,93023
6191,23873,89940,89996
6241,27391,88155,88213
6245,13077,95326,95352
6313,27010,88312,88365
6331,20338,91632,91699
6335,19593,92025,92047
6366,15020,94289,94325
6376,20742,91423,91459
6382,17559,92991,93068
6387,24927,89325,89361
6422,18651,92441,92486
6457,18465,92498,92580
6482,22156,90661,90701
6523,29459,86985,87033
6550,17232,93095,93123
6596,12905,95195,95304
6605,15454,93932,94009
6612,23702,89819,89867
6624,16404,93453,93519
6689,17234,92998,93079
6703,24596,89338,89363
6705,25090,89078,89127
6730,16667,93283,93320
6745,16790,93214,93251
6765,19939,91625,91671
6782,25308,88938,88972
6790,16443,93357,93410
6796,28786,87177,87241
6800,23925,89623,89652
6802,18763,92197,92238
6807,25891,88642,88660
6812,21962,90596,90630
6857,25431,88825,88887
6879,29496,86791,86834
6915,24654,89189,89242
6939,24616,89191,89254
6984,21259,90842,90915
7012,15010,93954,94024
7013,14063,94441,94483
7052,26286,88306,88356
7061,20456,91208,91275
7075,19249,91814,91862
7080,15394,93732,93794
7087,12193,95351,95369
7103,16330,93260,93307
7126,21669,90578,90627
7150,15741,93532,93577
7154,22771,90011,90064
7179,16359,93212,93250
7184,31626,85567,85623
7194,16250,93254,93302
7216,28506,87119,87159
7231,44187,58927,99655
7251,17854,92417,92478
7256,27863,87419,87462
7262,24647,89019,89072
7288,20023,91318,91371
7318,21069,90786,90827
7326,14890,93876,93908
7333,25963,88328,88376
7353,23648,89484,89515
7371,17053,92757,92819
7375,14355,94123,94147
7382,27468,87551,87599
7400,20645,90965,90990
7445,23098,89703,89754
7490,21187,90644,90679
7495,17881,92265,92359
7517,14023,94202,94258
7548,19732,91332,91388
7551,27425,87496,87528
7560,22447,89985,90008
7575,18789,91785,91851
7663,16151,93084,93102
7668,20777,90736,90819
7675,24056,89100,89169
7758,24685,88757,88800
7759,26615,87792,87834
7772,19976,91088,91164
7773,16355,92906,92966
7784,18523,91822,91871
7816,27355,87404,87425
7831,21459,90333,90377
7851,27653,87227,87269
7857,26614,87758,87771
7878,33499,84297,84326
7885,24835,88630,88650
7897,26789,87617,87697
7909,24068,89001,89022
7942,27047,87495,87516
7960,26531,87741,87768
7981,28900,86537,86582
7996,18361,91788,91855
8018,29475,86213,86294
8036,25147,88385,88432
8050,32879,84521,84550
8064,18879,91509,91548
8089,19245,91305,91361
8101,25794,88026,88079
8104,31406,85228,85262
8128,14320,93746,93806
8140,28003,86902,86955
8161,20518,90643,90678
8162,13096,94341,94401
8250,25564,88071,88115
8271,26735,87480,87514
8275,21775,89953,89997
8276,21942,89857,89925
8281,16448,92607,92664
8287,21437,90108,90168
8299,21243,90196,90262
8323,17546,92042,92089
8343,23423,89090,89144
8443,28868,86312,86377
8469,22507,89495,89529
8470,30535,85478,85517
8479,26478,87509,87534
8490,22093,89679,89738
8511,22990,89220,89279
8530,22333,89552,89585
8540,22810,89296,89354
8570,20938,90211,90281
8573,20052,90670,90705
8581,23389,89004,89026
8596,32905,84224,84275
8606,22350,89508,89536
8608,17680,91830,91882
8658,22427,89443,89472
8663,25398,87944,87995
8691,31621,84820,84868
8713,24295,88475,88517
8734,30454,85375,85437
8746,30301,85446,85507
8763,23717,88736,88784
8765,27341,86919,86975
8766,24952,88117,88165
8772,31019,85052,85157
8776,28370,86403,86451
8806,24357,88393,88444
8812,15086,93021,93081
8832,18948,91080,91140
8834,26913,87101,87152
8849,29259,85935,85957
8858,20832,90137,90173
8865,28383,86368,86384
8867,17248,91883,92002
8885,18624,91214,91277
8954,25402,87801,87843
9025,20524,90193,90258
9099,24078,88386,88437
9131,23210,88807,88852
9151,27423,86681,86745
9176,20508,90138,90178
9184,19960,90388,90468
9210,20699,90021,90070
9214,18746,90978,91062
9238,20346,90187,90229
9249,18756,90973,91022
9250,24788,87960,88002
9251,20631,90040,90078
9286,24413,88124,88177
9308,30793,84930,84969
9347,16081,92264,92308
9350,26980,86795,86875
9358,25998,87290,87354
9397,29429,85565,85609
9462,21347,89578,89613
9486,17055,91705,91754
9489,24533,87975,88003
9521,28605,85925,85949
9547,27705,86367,86381
9593,17490,91445,91472
9601,23544,88404,88451
9632,13674,93336,93358
9635,14511,92896,92958
9651,24681,87807,87861
9653,19385,90448,90514
9679,27488,86396,86437
9682,21466,89398,89454
9721,32105,84058,84116
9808,24405,87869,87918
9816,21030,89566,89588
9885,21288,89382,89445
9943,34875,82564,82618
10115,32086,83883,83916
10134,48221,53510,98135
10136,30786,84527,84551
10156,20333,89723,89788
10217,33088,83336,83359
10271,16248,91717,91764
10363,29131,85235,85271
10367,23643,87980,88010
10405,21346,89097,89152
10444,15465,92028,92063
10456,23854,87827,87863
10527,23657,87882,87934
10548,30415,84504,84533
10627,27823,85763,85787
10645,16453,91440,91462
10651,32227,83537,83585
10720,24536,87346,87398
10751,28282,85454,85513
10765,21573,88809,88853
10783,25502,86830,86885
10810,24714,87210,87266
10838,28964,85049,85149
10870,25890,86607,86633
